,Unnamed: 0,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
1339,62443,S1C(N2N=C(C(C(N3CCCCC3)=CC)=C2O)C(F)(F)F)=NC=4C1=CC=CC4,5.16168785095215,1358173,pubchem_screening,408.449,6,1,5.05310000000001,False
1341,62448,O(C=1C=C2C(C=CC(=C2)CC(=O)O)=CC1OC)C,5.16169166564941,362311,pubchem,246.262,3,1,2.4841,True
1343,62489,S(CC(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C=3N=C(C=C(N3)C(F)(F)F)C=4OC=CC4,5.16173553466797,1152521,pubchem,489.479,7,0,4.0972,True
1344,62719,S(C1=NC(C(F)(F)F)=CC(=N1)C=2OC=CC2)CC(=O)N=C3C(=O)N(N(C3C)C)C4=CC=CC=C4,5.16173553466797,CHEMBL1341695,chembl20,489.479,7,0,4.0972,True
1345,62721,C1(CCN(CC1)CC2=CC=CC=C2)CN3C4=C(C(=NC(C5=CC(=CC=C5)CO)=N4)N6CCOCC6)N=C3,5.16174221038818,CHEMBL592747,chembl20,498.631,8,1,3.7344,True
1346,62724,IC1=C2N=C(OCC3CCN(CC3)CCC)C4=C(C2=CC=C1)C=CC=C4,5.16202878952026,71462776,pubchem,460.359,3,0,5.49340000000001,False
1347,62729,N1(CCC(CC1)COC2=C3C=CC=CC3=C4C(=N2)C(I)=CC=C4)CCC,5.16202878952026,CHEMBL2181169,chembl20,460.359,3,0,5.49340000000001,False
1349,62732,S\1C(=O)N(CCC(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)C(=O)/C1=C/C4=CC=CC=C4,5.16208934783936,1554494,pubchem_screening,462.531,6,0,3.3627,True
1350,62735,S1C=C(N=C1C2=CC=C(OCC(F)(F)F)N=C2)C=3N=C4C(C=C(CCN5[C@@H](CCC5)C)C=C4)=CC3,5.16235589981079,11663315,pubchem,498.574,6,0,6.38820000000001,False
1351,62737,C=1C(CCN2CCC[C@H]2C)=CC=3C=CC(C=4N=C(SC4)C=5C=NC(=CC5)OCC(F)(F)F)=NC3C1,5.16235589981079,CHEMBL1084879,chembl20,498.574,6,0,6.38820000000001,False
1352,62738,C=1C(=C(C=C(N)C1)OC)C(OCC2CCN(CC2)CCCC)=O,5.16238784790039,CHEMBL1258451,chembl20,320.433,5,1,2.9463,True
1353,62739,O1C=2N(CCC1)C=3C(C2C(=O)NCC4CCN(CC4)CCCC)=CC=CC3,5.16239500045776,177336,pubchem,369.509,4,1,3.6657,True
1354,62740,C12=C(C=3C=CC=CC3N1CCCO2)C(NCC4CCN(CCCC)CC4)=O,5.16239500045776,CHEMBL356359,chembl20,369.509,4,1,3.6657,True
1355,62744,O=C1N(/N=C/C=2C(O)=CC(O)=CC2)C(=NC=3C1=CC=CC3)CCC,5.16244268417358,CHEMBL3212520,chembl20,323.352,6,2,2.6424,True
1356,62751,S1C(N2N=C(C=C2C(F)(F)F)C=3C=CC=CC3)=NC(=C1)C(=O)O,5.16248178482056,CHEMBL1479261,chembl20,339.298,5,1,3.7128,True
1358,62760,S1C(N2N=C(C=C2C(F)(F)F)C=3C=CC=CC3)=NC(=C1)C(O)=O,5.16248178482056,1498318,pubchem,339.298,5,1,3.7128,True
1359,62958,N1(C2=CC=CC=C2N=C1C3=CC(=CC=C3)/C=C/C(=NO)O)[C@H]4CCCN(C4)C,5.16255187988281,CHEMBL1095449,chembl20,376.46,5,2,4.3289,True
1360,62960,OC(=NO)/C=C/C=1C=C(C=2N(C3CCCN(C3)C)C=4C(N2)=CC=CC4)C=CC1,5.16255187988281,46830326,pubchem,376.46,5,2,4.3289,True
1361,62962,N1(C2=CC=CC=C2N=C1C3=CC(=CC=C3)/C=C/C(=NO)O)[C@@H]4CCCN(C4)C,5.16255187988281,CHEMBL1094159,chembl20,376.46,5,2,4.3289,True
